show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
s6546;Movie;The Land of Cards;Qaushiq Mukherjee;Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta;India;November 22, 2016;2012;TV-14;113 min;Dramas, Independent Movies, International Movies;A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.
s460;Movie;American Experience: Ruby Ridge;Barak Goodman;Dave Hunt, Bo Gritz, Sara Weaver;United States;April 19, 2017;2017;TV-MA;53 min;Documentaries;A botched attempt to arrest a white supremacist in Idaho results in a gun battle, a standoff and three deaths that galvanize public opinion in 1992.
s429;TV Show;Alone;NA;NA;NA;June 2, 2020;2019;TV-14;1 Season;Reality TV;Equipped with limited resources, an isolated group of individuals is subjected to the harsh conditions of the wilderness and must survive — or tap out.
s4112;Movie;Mine 9;Eddie Mensore;Terry Serpico, Kevin Sizemore, Mark Ashworth, Clint James, Drew Starkey, Erin Elizabeth Burns;United States;April 6, 2020;2019;TV-MA;83 min;Dramas, Independent Movies;A methane explosion leaves a group of miners trapped two miles deep into the earth with a small oxygen supply and desperate for any means of survival.
s5252;Movie;Rodney King;Spike Lee;Roger Guenveur Smith;United States;April 28, 2017;2017;TV-MA;53 min;Dramas;Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.
s4080;TV Show;Midnight Misadventures With Mallika Dua;NA;Mallika Dua;India;April 1, 2019;2018;TV-14;1 Season;International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies;In this talk show, comedian Mallika Dua serves up big laughs as Shalishka and whips up a meal with her celebrity pals who dish on their diets and lives.
s6783;TV Show;The Princess Weiyoung;NA;Tiffany Tang, Luo Jin, Vanness Wu, Rachel Momo, Hsin Ai Lee;China;May 10, 2019;2016;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Dramas;A princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.
s535;TV Show;Anjaan: Special Crimes Unit;NA;Gashmeer Mahajani, Heena Parmar;India;May 1, 2018;2018;TV-14;1 Season;International TV Shows, TV Horror, TV Mysteries;The cases are supernatural.- the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal.
s2698;TV Show;Hemlock Grove;Eli Roth;Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer;United States;October 23, 2015;2015;TV-MA;3 Seasons;TV Horror, TV Mysteries, TV Thrillers;Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.
s5205;TV Show;RIDE ON TIME;NA;King & Prince, Hey! Say! JUMP, KAT-TUN, NEWS, Kansai Johnny's Jr., Snow Man, Tomoyuki Yara, Travis Japan, Bi shonen, SixTONES, HiHi Jets, Kis-My-Ft2, Koichi Domoto;NA;August 13, 2020;2019;TV-PG;2 Seasons;Docuseries, International TV Shows;Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
s6110;Movie;The Bad Kids;Keith Fulton, Louis Pepe;NA;United States;April 1, 2017;2016;TV-MA;101 min;Documentaries;In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students.
s5204;Movie;Ride Like a Girl;Rachel Griffiths;Teresa Palmer, Sam Neill, Sullivan Stapleton, Stevie Payne, Brooke Satchwell, Magda Szubanski, Aaron Glenane, Damien Garvey, Sophia Crawford, Henry Nixon;Australia;June 27, 2020;2020;PG;99 min;Children & Family Movies, Dramas, Independent Movies;The daughter of a horse trainer, an ambitious girl sets her sights on becoming the first female jockey to win the Melbourne Cup. Based on a true story.
s5861;Movie;Studio 54;Matt Tyrnauer;NA;United States;February 16, 2019;2018;TV-MA;99 min;Documentaries;This documentary follows the rapid rise and fall of the Manhattan discotheque and the glittery debauchery that attracted the city's eccentric and elite.
s6305;TV Show;The Disastrous Life of Saiki K.: Reawakened;NA;Hiroshi Kamiya, Daisuke Ono, Nobunaga Shimazaki, Satoshi Hino, Natsuki Hanae, Ai Kayano, Yukari Tamura, Maaya Uchida, Yoshimasa Hosoya, Masaya Matsukaze, Tomoaki Maeno, Kenji Nojima, Mitsuo Iwata, Rikako Aikawa, Yuki Kaji, Eri Kitamura, M・A・O, Kensho Ono, Kohsuke Toriumi, Nao Toyama;Japan;December 30, 2019;2019;TV-14;1 Season;Anime Series, International TV Shows;Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now.
s1557;Movie;Curtiz;Tamas Yvan Topolanszky;Ferenc Lengyel, Evelin Dobos, Declan Hannigan, Scott Alexander Young, József Gyabronka, Nikolett Barabas, Yan Feldman, Rafael Feldman, Christopher Krieg, Andrew Hefler, Lili Bordán;Hungary;March 25, 2020;2018;TV-MA;99 min;Dramas, International Movies;Driven and arrogant, film director Michael Curtiz deals with studio politics and family drama during the troubled production of "Casablanca" in 1942.
s3693;TV Show;Loaded;NA;Jim Howick, Samuel Anderson, Jonny Sweet, Nick Helm, Mary McCormack, Aimee-Ffion Edwards, Lolly Adefope;United Kingdom;April 1, 2018;2017;TV-MA;1 Season;British TV Shows, International TV Shows, TV Comedies;Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.
s1778;Movie;Disco Dancer;B. Subhash;Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan;India;October 12, 2020;1982;TV-14;134 min;Cult Movies, Dramas, International Movies;A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft.
s6927;Movie;The Third Party;Jason Paul Laxamana;Sam Milby, Angel Locsin, Zanjoe Marudo, Cherry Pie Picache, Alma Moreno, Matet De Leon, Al Tantay, Beauty Gonzalez, Katrina Michelle Legaspi;Philippines;March 21, 2019;2016;TV-MA;118 min;Comedies, Dramas, International Movies;When aspiring fashion designer Andi reconnects with her ex-boyfriend Max, she's surprised to learn that he's in a relationship with a man.
s292;Movie;Abzurdah;Daniela Goggi;Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul;Argentina;August 25, 2016;2015;TV-MA;90 min;Dramas, International Movies;A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
s6804;Movie;The Rat Race;Miriam Chandy Menacherry;NA;India;January 1, 2017;2010;TV-PG;52 min;Documentaries, International Movies;Examine the troublesome coexistence of humans and rodents in Mumbai, where the byproducts of a big economy have led to a thriving rat population.
s3718;Movie;Look Out, Officer;Sze Yu Lau;Stephen Chow, Bill Tung, Stanley Sui-Fan Fung, Vivian Chan, Indra Leech, Amy Yip;Hong Kong;August 16, 2018;1990;TV-14;88 min;Action & Adventure, Comedies, International Movies;An officer killed on the job returns to Earth as a ghost to solve his own murder and seek justice with the help of a rookie cop and some funky magic.
s753;Movie;Barely Lethal;Kyle Newman;Hailee Steinfeld, Jessica Alba, Samuel L. Jackson, Sophie Turner, Dove Cameron, Toby Sebastian, Gabriel Basso, Thomas Mann, Rachael Harris, Dan Fogler, Steve-O, Rob Huebel, Finesse Mitchell, Jaime King;United States;July 26, 2018;2015;PG-13;99 min;Action & Adventure, Comedies;A girl raised to be a government assassin just wants to be a normal teen – so she runs away and pretends to be a high school exchange student.
s7579;TV Show;When Calls the Heart;NA;Erin Krakow, Daniel Lissing, Lori Loughlin, Martin Cummins, Chelah Horsdal, Gracyn Shinyei, Jack Wagner, Mitchell Kummen, Loretta Walsh, Erica Carroll, Darius Zaviceanu, Charlotte Hegele, Steve Bacic, Adrian Hough;United States;December 29, 2018;2017;TV-PG;5 Seasons;TV Dramas;Leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small Canadian mining community.
s4815;Movie;Pegasus;Han Han;Shen Teng, Yin Zheng, Johnny Huang, Zhang Benyu, Yin Fang, Tian Yu, Wei Xiang;China;May 31, 2019;2019;TV-MA;98 min;Comedies, Dramas, International Movies;After a five-year suspension, a once-legendary race car driver decides to get back in the game against a new generation of opponents.
s951;Movie;Black Friday;Anurag Kashyap;Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun;India;November 19, 2020;2004;TV-MA;162 min;Dramas, International Movies;This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
s7652;TV Show;Wolf;NA;Ahu Türkpençe, Serkan Çayoğlu, Murat Arkin, Emir Benderlioğlu, Firat Doğruloğlu, Ahmet Pinar, Mesut Akusta;Turkey;December 21, 2018;2018;TV-MA;1 Season;International TV Shows, TV Action & Adventure, TV Dramas;Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home.
s7026;TV Show;The Yard;NA;Demet Evgar, Ceren Moray, Nursel Köse, Kenan Ece, Teoman Kumbaracıbaşı, Çağdaş Onur Öztürk, Deniz Barut, Onuryay Evrentan, Görkem Mertsöz, Mert Tanık, Ayça Damgacı;Turkey;November 15, 2019;2019;TV-MA;2 Seasons;Crime TV Shows, International TV Shows, TV Dramas;After a fateful domestic clash, a devoted mother finds herself in prison and fighting to survive in hopes of reuniting with her daughter.
s5718;TV Show;Song Exploder;NA;Hrishikesh Hirway;United States;December 15, 2020;2020;TV-MA;2 Seasons;Docuseries;Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.
s4146;Movie;Miss Stevens;Julia Hart;Lily Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nuñez, Rob Huebel;United States;December 19, 2016;2016;NR;86 min;Dramas, Independent Movies;Emotionally vulnerable teacher Rachel accompanies three students to a weekend drama competition and forms an unexpected bond with troubled teen Billy.
s2959;TV Show;Imposters;NA;Inbar Lavi, Rob Heaps, Parker Young, Marianne Rendón, Stephen Bishop, Brian Benben, Katherine La Nasa;United States;April 5, 2019;2017;TV-MA;2 Seasons;Crime TV Shows, International TV Shows, TV Comedies;Supported by a team of fellow thieves, a con artist lures her targets into matrimony and then absconds with their fortunes in this darkly comic series.
s3581;TV Show;LEGO Elves: Secrets of Elvendale;NA;Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr;United States;September 1, 2017;2017;TV-Y7;1 Season;Kids' TV;Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series.
s1081;Movie;Brave New Jersey;Jody Lambert;Tony Hale, Anna Camp, Sam Jaeger, Heather Burns, Dan Bakkedahl, Raymond J. Barry, Erika Alexander, Mel Rodriguez, Evan Jonigkeit, Grace Kaufman;United States;December 15, 2017;2016;TV-MA;92 min;Comedies, Independent Movies;Small-town residents mistake an Orson Welles radio broadcast for news about an alien invasion and are emboldened to act as they await an apocalypse.
s957;TV Show;Black Mirror;NA;Jesse Plemons, Cristin Milioti, Jimmi Simpson, Rosemarie DeWitt, Douglas Hodge, Andrea Riseborough, Brenna Harding, Owen Teague, Andrew Gower, Kiran Sonia Sawar, Georgina Campbell, Joe Cole, Maxine Peake, Jake Davies, Clint Dyer, Letitia Wright, Babs Olusanmokun, Bryce Dallas Howard, Alice Eve, Michael Kelly, Cherry Jones, Gugu Mbatha-Raw, Mackenzie Davis, Wyatt Russell, Benedict Wong, Kelly Macdonald, Faye Marsay, Madeline Brewer, Hannah John-Kamen, Malachi Kirby, Alex Lawther, Jerome Flynn, James Norton, Rory Kinnear, Lindsay Duncan, Daniel Kaluuya, Jessica Brown Findlay, Rupert Everett, Toby Kebbell, Jodie Whittaker, Hayley Atwell, Domhnall Gleeson, Lenora Crichlow, Michael Smiley, Daniel Rigby, Chloe Pirrie, Jason Flemyng, Jon Hamm, Oona Chaplin, Rafe Spall;United Kingdom;June 5, 2019;2019;TV-MA;5 Seasons;British TV Shows, International TV Shows, TV Dramas;This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.
s5434;Movie;School Life;Grand Corps Malade, Mehdi Idir;Zita Hanrot, Liam Pierron, Soufiane Guerrab, Ibrahim Dramé, Moussa Mansaly, Moryfère Camara, Alban Ivanov, Gaspard Gévin-Hié, Antoine Reinartz, Mahamadou Sangaré, Redouane Bougheraba, Hocine Mokando, Aboudou Sacko;France;April 10, 2020;2019;TV-MA;112 min;Comedies, Dramas, International Movies;In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own.
s5200;Movie;Rich in Love;Bruno Garotti;Danilo Mesquita, Giovanna Lancellotti, Jaffar Bambirra, Lellê, Ernani Moraes, Gillray Coutinho, Jeniffer Dias, Bruna Griphao, Fernanda Paes Leme;Brazil;April 30, 2020;2020;TV-14;105 min;Comedies, International Movies, Romantic Movies;Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.
s575;TV Show;Are You The One;NA;Ryan Devlin;United States;December 1, 2020;2014;TV-14;2 Seasons;Reality TV;Determined by a dating algorithm, a group of single contestants must identify their perfect matches for a shot at love and a cash prize.
s1080;TV Show;Brave Miss World;Cecilia Peck;Linor Abargil;United States, Israel, Italy, South Africa;February 17, 2018;2013;TV-14;1 Season;Crime TV Shows, Docuseries;Weeks before being named Miss World, Linor Abargil was raped. She tells the world her inspiring true story in this Emmy-nominated documentary.
s2676;TV Show;Heart & Soul;NA;Anthony Monjaro, Phoenix Ezendu, Ademola Amoo, Chioma Adibe, Ijeoma Richards, Joy Mmezi;NA;November 20, 2020;2019;TV-14;1 Season;International TV Shows, TV Dramas;At a hospital in Lagos, a doctor yearning for more field experience meets patients with various ailments that test his spiritual and medical beliefs.
s2443;Movie;GLOW: The Story of the Gorgeous Ladies of Wrestling;Brett Whitcomb;NA;United States;March 31, 2017;2012;NR;77 min;Documentaries, Sports Movies;This engaging documentary chronicles the 1980s phenomenon "The Gorgeous Ladies of Wrestling," which elevated its female grapplers to star status.
s3638;Movie;Like Arrows;Kevin Peeples;Micah Lynn Hanson, Alan Powell, Elizabeth Becka, Garry Nation, Joseph Callender, Anisa Nyell Johnson, Aowyn Grace Peoples, John Jackson Hunter, Alex Kendrick;United States;May 6, 2019;2018;TV-PG;99 min;Dramas, Faith & Spirituality;Over 50 years of their lives, a couple enjoys the blessings and setbacks of parenting, and learns that God has to be at the center of their family.
s3963;TV Show;Marvel's Agents of S.H.I.E.L.D.;NA;Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons;United States;October 30, 2020;2020;TV-14;7 Seasons;TV Action & Adventure, TV Sci-Fi & Fantasy;Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats.
s7704;TV Show;Yeh Meri Family;NA;Vishesh Bansal, Mona Singh, Akarsh Khurana, Ahan Nirban, Ruhi Khan, Prasad Reddy, Revathi Pillai;India;August 31, 2018;2018;TV-PG;1 Season;International TV Shows, TV Comedies;In the summer of 1998, middle child Harshu balances school, family, friendship and other challenges of growing up.
s5447;TV Show;Señora Acero;NA;Blanca Soto, Litzy, Damián Alcázar, Marco Pérez, Jorge Zárate, Rossana San Juan, Andrés Palacios, Rebecca Jones, Lincoln Palomeque;Mexico, United States;April 28, 2019;2018;TV-MA;5 Seasons;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son.
s5573;TV Show;Shooter;NA;Ryan Phillippe, Omar Epps, David Marciano, Cynthia Addai-Robinson, Shantel VanSanten, Tom Sizemore;United States;June 21, 2019;2018;TV-14;3 Seasons;Crime TV Shows, TV Action & Adventure, TV Dramas;A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder.
